mean_abs_fbme_d1_cgm,strategy,t
22.616911492742645,dynamic_gen,7856
12.858535540976053,dynamic_gen,7857
12.104218454675923,dynamic_gen,7858
26.80636580994209,dynamic_gen,7859
26.771481205601766,dynamic_gen,7860
18.504939067529193,dynamic_gen,7861
15.020827086452453,dynamic_gen,7862
23.0518681944658,dynamic_gen,7863
7.906830289416883,dynamic_gen,7864
52.77424747879088,dynamic_gen,7865
42.95472704333004,dynamic_gen,7866
8.92322917739478,dynamic_gen,7867
1.007725116989439e-12,dynamic_gen,7868
7.0500300921316864e-12,dynamic_gen,7869
1.1239618373184408e-11,dynamic_gen,7870
1.7271285037675287e-12,dynamic_gen,7871
5.976357234466344e-13,dynamic_gen,7872
6.97337330214676e-13,dynamic_gen,7873
9.91050346779743e-13,dynamic_gen,7874
3.635691346349619e-13,dynamic_gen,7875
6.463099496774437e-12,dynamic_gen,7876
5.30414912744396e-12,dynamic_gen,7877
1.8233913672801644e-11,dynamic_gen,7878
3.101564211977568e-13,dynamic_gen,7879
13.283608260540694,dynamic_gen,7880
3.9623923564519985,dynamic_gen,7881
4.233058638048507e-13,dynamic_gen,7882
3.610429651307683e-13,dynamic_gen,7883
1.0861783587491598e-12,dynamic_gen,7884
3.1052243309322363e-13,dynamic_gen,7885
3.8258390262302057e-13,dynamic_gen,7886
3.555443253825288e-13,dynamic_gen,7887
1.1408679559300317,dynamic_gen,7888
0.8321677396877544,dynamic_gen,7889
0.7401524717433179,dynamic_gen,7890
2.015578937410042,dynamic_gen,7891
6.497230761936052,dynamic_gen,7892
7.9338277396512575,dynamic_gen,7893
1.8396097898276657e-13,dynamic_gen,7894
2.7072228633565245e-13,dynamic_gen,7895
1.6851684237698083e-11,dynamic_gen,7896
1.0130232775540081e-12,dynamic_gen,7897
9.050652882674772e-13,dynamic_gen,7898
4.38200524724113e-13,dynamic_gen,7899
4.825340299780197e-13,dynamic_gen,7900
1.2645990558582714e-12,dynamic_gen,7901
2.715105769616539e-13,dynamic_gen,7902
9.639677918460981e-13,dynamic_gen,7903
2.4492868503225267e-11,dynamic_gen,7904
5.584375868149882e-12,dynamic_gen,7905
1.230958660726894e-12,dynamic_gen,7906
3.3430096410167246e-12,dynamic_gen,7907
8.157858181060609e-13,dynamic_gen,7908
1.1336064522391069e-12,dynamic_gen,7909
1.3302336538034172e-12,dynamic_gen,7910
2.2819222184603663e-11,dynamic_gen,7911
4.638039845339226e-13,dynamic_gen,7912
9.518437107118973e-13,dynamic_gen,7913
1.105775830835776e-12,dynamic_gen,7914
1.5594160611089425e-12,dynamic_gen,7915
4.5211682305417235e-13,dynamic_gen,7916
5.660445630776361e-13,dynamic_gen,7917
1.409439550385807e-13,dynamic_gen,7918
3.2675518567324817e-13,dynamic_gen,7919
1.9748496741301592e-13,dynamic_gen,7920
2.440651494818753e-13,dynamic_gen,7921
9.33621958994287e-12,dynamic_gen,7922
1.5856248433664816e-11,dynamic_gen,7923
1.5237251047931333e-11,dynamic_gen,7924
4.822810122615774e-13,dynamic_gen,7925
23.10382972738483,dynamic_gen,7926
34.43976299112228,dynamic_gen,7927
37.281984398376224,dynamic_gen,7928
64.83654761932158,dynamic_gen,7929
79.69936981583768,dynamic_gen,7930
101.27838227554638,dynamic_gen,7931
100.0701368641637,dynamic_gen,7932
99.85301372447674,dynamic_gen,7933
74.56045831712026,dynamic_gen,7934
54.01789807552041,dynamic_gen,7935
56.975497764412026,dynamic_gen,7936
60.15859660549586,dynamic_gen,7937
59.925162795459734,dynamic_gen,7938
64.26053639848865,dynamic_gen,7939
50.54649481844942,dynamic_gen,7940
6.376175229597237e-13,dynamic_gen,7941
1.4089212735946033e-11,dynamic_gen,7942
9.542861860037314e-13,dynamic_gen,7943
5.775556212360124e-13,dynamic_gen,7944
1.2046805230071666e-12,dynamic_gen,7945
1.531819412597808e-12,dynamic_gen,7946
2.1742679059303815e-12,dynamic_gen,7947
7.313326618412152e-13,dynamic_gen,7948
7.199187122825858e-13,dynamic_gen,7949
9.528953405432545e-13,dynamic_gen,7950
39.21928193369792,dynamic_gen,7951
112.01033955705506,dynamic_gen,7952
39.25214777213978,dynamic_gen,7953
54.99539508689063,dynamic_gen,7954
70.66101870370325,dynamic_gen,7955
79.72117337190866,dynamic_gen,7956
56.28650187282183,dynamic_gen,7957
42.9290173326834,dynamic_gen,7958
36.84617413283254,dynamic_gen,7959
76.70545690050605,dynamic_gen,7960
102.71014248423988,dynamic_gen,7961
76.10433441770125,dynamic_gen,7962
15.864062819062573,dynamic_gen,7963
3.8776132587260514,dynamic_gen,7964
2.724350564570723,dynamic_gen,7965
10.318848597315506,dynamic_gen,7966
61.45093435165675,dynamic_gen,7967
58.69640323628009,dynamic_gen,7968
39.138208642951085,dynamic_gen,7969
73.9522217990723,dynamic_gen,7970
53.560616334264935,dynamic_gen,7971
34.947042640318614,dynamic_gen,7972
26.05970757696232,dynamic_gen,7973
18.40192996912713,dynamic_gen,7974
47.75985154120255,dynamic_gen,7975
62.852387285937226,dynamic_gen,7976
49.33904044442214,dynamic_gen,7977
37.9771695797848,dynamic_gen,7978
38.129527777535834,dynamic_gen,7979
44.56001205492516,dynamic_gen,7980
48.77924745658489,dynamic_gen,7981
45.863236764842654,dynamic_gen,7982
14.648043510058532,dynamic_gen,7983
8.805015724693606,dynamic_gen,7984
34.10986775866352,dynamic_gen,7985
16.58614185558935,dynamic_gen,7986
16.276107135792206,dynamic_gen,7987
17.04683963543938,dynamic_gen,7988
12.250133568250993,dynamic_gen,7989
10.10762546067994,dynamic_gen,7990
25.261979825229,dynamic_gen,7991
72.21879903920109,dynamic_gen,7992
111.4338932732882,dynamic_gen,7993
24.014746963584898,dynamic_gen,7994
20.788911302305166,dynamic_gen,7995
17.67868793835165,dynamic_gen,7996
13.18954615599276,dynamic_gen,7997
65.07683763975963,dynamic_gen,7998
58.5596680132987,dynamic_gen,7999
41.04671432294735,dynamic_gen,8000
15.10689140395714,dynamic_gen,8001
8.345006049843212,dynamic_gen,8002
6.401160228706801,dynamic_gen,8003
5.78905788287882,dynamic_gen,8004
4.762530041106579,dynamic_gen,8005
2.171014675966539,dynamic_gen,8006
8.629963846824621,dynamic_gen,8007
46.113292069892836,dynamic_gen,8008
